"Acura","Acura ZDX Grey Wolf","3.7","2010","1 500 000 ₽","https://www.drive2.ru/r/acura/zdx/467294092145983992/"
"Acura","Acura RSX Type RS","2.0","2002","700 000 ₽","https://www.drive2.ru/r/acura/rsx/625824/"
"Acura","Acura RSX K20/K24 RR ATMO 12,92c","2.4","2002","650 000 ₽","https://www.drive2.ru/r/acura/rsx/843904/"
"Acura","Acura RSX TypeS K20/K24 256hp290Nm","2.4","2005","$6,500","https://www.drive2.ru/r/acura/rsx/456663189094924340/"
"Acura","Acura ZDX","3.7","2010","1 500 000 ₽","https://www.drive2.ru/r/acura/zdx/467294092145983992/"
"Acura","Acura MDX BEGЕMOT","3.5","2004","$8,000","https://www.drive2.ru/r/acura/mdx/461980702204756313/"
"Acura","Acura MDX","3.5","2004","$8,000","https://www.drive2.ru/r/acura/mdx/461980702204756313/"
"Acura","Acura MDX Technology","3.7","2007","$7,500","https://www.drive2.ru/r/acura/mdx/782027/"
"Acura","Acura TSX Sport Wagon Techno","2.4","2012","$8,500","https://www.drive2.ru/r/acura/tsx/1421255/"
"Acura","Acura MDX","3.5","2004","$8,000","https://www.drive2.ru/r/acura/mdx/461980702204756313/"
"Acura","Acura MDX синяя акула","3.5","2007","900 000 ₽","https://www.drive2.ru/r/acura/mdx/495312122322879295/"
"Acura","Acura CL 2.2 SOHC VTEC","2.2","1997","$1,000","https://www.drive2.ru/r/acura/cl/466140979326353520/"
"Acura","Acura EL эксклюзив","1.7","2001","250 000 ₽","https://www.drive2.ru/r/acura/el/489429735114277474/"
"Acura","Acura RDX","2.3","2007","800 000 ₽","https://www.drive2.ru/r/acura/rdx/887817/"
"Acura","Acura MDX","3.5","2004","$8,000","https://www.drive2.ru/r/acura/mdx/461980702204756313/"
"Acura","Acura TL Ворон","3.2","2004","650 000 ₽","https://www.drive2.ru/r/acura/tl/1044921/"
"Alfa Romeo","Alfa Romeo GT 1.75 TBi 4x4","1.7","2006","$6,500","https://www.drive2.ru/r/alfaromeo/gt/288230376151839956/"
"Alfa Romeo","Alfa Romeo 147 2.0 TS","2.0","2001","250 000 ₽","https://www.drive2.ru/r/alfaromeo/147/489039133608510250/"
"Alfa Romeo","Alfa Romeo 166","3.0","2003","$7,000","https://www.drive2.ru/r/alfaromeo/166/4899916394579107091/"
"Alfa Romeo","Alfa Romeo 159 Sportwagon Sportwagon","1.9","2007","550 000 ₽","https://www.drive2.ru/r/alfaromeo/159_sportwagon/200658/"
"Alfa Romeo","Alfa Romeo GT Black&rap 308HP","2.4","2005","750 000 ₽","https://www.drive2.ru/r/alfaromeo/gt/525167986185601542/"
"Alfa Romeo","Alfa Romeo 156 Sportwagon LIFT ORIGINALE","2.0","2005","$6,200","https://www.drive2.ru/r/alfaromeo/156_sportwagon/682667/"
"Alfa Romeo","Alfa Romeo 159 🍀","1.8","2010","820 000 ₽","https://www.drive2.ru/r/alfaromeo/159/1522086/"
"Alfa Romeo","Alfa Romeo GT LaCaramellka)","1.9","2004","500 000 ₽","https://www.drive2.ru/r/alfaromeo/gt/1738404/"
"Alfa Romeo","Alfa Romeo 159 Quantum of Solace","2.2","2007","520 000 ₽","https://www.drive2.ru/r/alfaromeo/159/663883/"
"Alfa Romeo","Alfa Romeo 159 2.4 Chromaggus","2.4","2008","$7,700","https://www.drive2.ru/r/alfaromeo/159/537395105242284279/"
"Alfa Romeo","Alfa Romeo Alfetta почти gta autodelta","2.0","1983","465 000 ₽","https://www.drive2.ru/r/alfaromeo/alfetta/620888/"
